dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.058170,5.454308,0.000198,0.019767,0.988372,49.418605,0.000246
0.020000,1.058182,5.454308,0.000209,0.000581,-0.959338,-97.385499,0.000199
0.020000,1.058205,5.454308,0.000232,0.001160,0.028942,49.413972,0.000106
0.020000,1.058795,5.454308,0.000822,0.029494,1.416736,69.389723,6.283153
0.020000,1.062004,5.454307,0.004031,0.160444,6.547470,256.536720,6.282969
0.020000,1.066014,5.454306,0.008042,0.200540,2.004841,-227.131469,6.282739
0.020000,1.070827,5.454303,0.012855,0.240628,2.004401,-0.021978,6.282466
0.020000,1.076441,5.454298,0.018469,0.280705,2.003826,-0.028750,6.282149
0.020000,1.082856,5.454290,0.024884,0.320768,2.003135,-0.034571,6.281790
0.020000,1.090073,5.454279,0.032100,0.360817,2.002480,-0.032757,6.281389
0.020000,1.098090,5.454263,0.040117,0.400849,2.001590,-0.044485,6.280949
0.020000,1.106907,5.454241,0.048935,0.440862,2.000649,-0.047053,6.280471
0.020000,1.116524,5.454212,0.058552,0.480855,1.999645,-0.050215,6.279956
0.020000,1.126940,5.454176,0.068968,0.520825,1.998517,-0.056401,6.279407
0.020000,1.138156,5.454130,0.080184,0.560773,1.997395,-0.056068,6.278824
0.020000,1.150170,5.454074,0.092198,0.600693,1.995974,-0.071058,6.278210
0.020000,1.162981,5.454006,0.105009,0.640586,1.994683,-0.064567,6.277568
0.020000,1.176590,5.453925,0.118618,0.680450,1.993187,-0.074810,6.276899
0.020000,1.190995,5.453829,0.133024,0.720283,1.991632,-0.077760,6.276207
0.020000,1.206196,5.453718,0.148226,0.760081,1.989932,-0.084998,6.275493
0.020000,1.222193,5.453589,0.164223,0.799846,1.988241,-0.084529,6.274762
0.020000,1.238984,5.453441,0.181014,0.839573,1.986351,-0.094495,6.274014
0.020000,1.256568,5.453273,0.198599,0.879263,1.984475,-0.093816,6.273255
0.020000,1.274945,5.453084,0.216977,0.918912,1.982456,-0.100931,6.272486
0.020000,1.294115,5.452871,0.236148,0.958519,1.980355,-0.105077,6.271711
0.020000,1.314075,5.452634,0.256109,0.998081,1.978122,-0.111634,6.270935
0.020000,1.334825,5.452372,0.276861,1.037600,1.975913,-0.110464,6.270159
0.020000,1.356365,5.452083,0.298403,1.077070,1.973523,-0.119470,6.269389
0.020000,1.378692,5.451766,0.320733,1.116491,1.971054,-0.123453,6.268628
0.020000,1.401807,5.451421,0.343850,1.155862,1.968522,-0.126618,6.267880
0.020000,1.425707,5.451046,0.367754,1.195180,1.965921,-0.130033,6.267149
0.020000,1.450393,5.450642,0.392442,1.234444,1.963181,-0.137023,6.266440
0.020000,1.475862,5.450206,0.417915,1.273652,1.960407,-0.138673,6.265757
0.020000,1.502114,5.449740,0.444171,1.312802,1.957494,-0.145677,6.265105
0.020000,1.529148,5.449243,0.471209,1.351892,1.954514,-0.148977,6.264489
0.020000,1.556961,5.448715,0.499028,1.390921,1.951462,-0.152610,6.263913
0.020000,1.585553,5.448156,0.527625,1.429888,1.948330,-0.156603,6.263382
0.020000,1.614923,5.447567,0.557001,1.468789,1.945049,-0.164031,6.262902
0.020000,1.645069,5.446949,0.587154,1.507624,1.941749,-0.165015,6.262479
0.020000,1.675990,5.446303,0.618082,1.546390,1.938317,-0.171611,6.262116
0.020000,1.707685,5.445630,0.649783,1.585086,1.934805,-0.175597,6.261821
0.020000,1.740152,5.444932,0.682257,1.623710,1.931204,-0.180037,6.261598
0.020000,1.773389,5.444212,0.715503,1.662260,1.927493,-0.185533,6.261455
0.020000,1.807198,5.443476,0.749320,1.690850,1.429474,-24.900953,6.261396
0.020000,1.841182,5.442736,0.783312,1.699625,0.438744,-49.536542,6.261426
0.020000,1.875145,5.441998,0.817282,1.698508,-0.055817,-24.728047,6.261546
0.020000,1.909085,5.441267,0.851230,1.697392,-0.055831,-0.000669,6.261754
0.020000,1.943002,5.440545,0.885156,1.696275,-0.055852,-0.001064,6.262052
0.020000,1.976898,5.439835,0.919059,1.695157,-0.055865,-0.000667,6.262440
0.020000,2.010772,5.439140,0.952940,1.694039,-0.055899,-0.001660,6.262917
0.020000,2.044623,5.438463,0.986798,1.692920,-0.055948,-0.002494,6.263483
0.020000,2.078453,5.437807,1.020634,1.691800,-0.055998,-0.002473,6.264139
0.020000,2.112261,5.437175,1.054448,1.690680,-0.056014,-0.000826,6.264885
0.020000,2.146046,5.436571,1.088239,1.689558,-0.056104,-0.004497,6.265720
0.020000,2.179810,5.435997,1.122007,1.688434,-0.056177,-0.003621,6.266645
0.020000,2.213552,5.435455,1.155754,1.687310,-0.056242,-0.003280,6.267660
0.020000,2.247272,5.434950,1.189477,1.686184,-0.056283,-0.002034,6.268766
0.020000,2.280970,5.434484,1.223178,1.685056,-0.056413,-0.006485,6.269961
0.020000,2.314646,5.434060,1.256857,1.683926,-0.056506,-0.004650,6.271247
0.020000,2.348299,5.433681,1.290513,1.682794,-0.056578,-0.003591,6.272624
0.020000,2.381931,5.433350,1.324146,1.681661,-0.056658,-0.004035,6.274091
0.020000,2.415540,5.433071,1.357757,1.680525,-0.056808,-0.007484,6.275649
0.020000,2.449127,5.432845,1.391344,1.679386,-0.056920,-0.005615,6.277298
0.020000,2.482692,5.432676,1.424909,1.678246,-0.056996,-0.003810,6.279038
0.020000,2.516234,5.432568,1.458451,1.677104,-0.057110,-0.005698,6.280870
0.020000,2.549753,5.432522,1.491970,1.675959,-0.057274,-0.008168,6.282793
0.020000,2.583249,5.432542,1.525467,1.674811,-0.057400,-0.006290,0.001623
0.020000,2.616722,5.432632,1.558940,1.673661,-0.057483,-0.004182,0.003730
0.020000,2.650172,5.432793,1.592390,1.672509,-0.057610,-0.006333,0.005929
0.020000,2.683598,5.433029,1.625817,1.671353,-0.057785,-0.008756,0.008221
0.020000,2.717001,5.433343,1.659221,1.670195,-0.057917,-0.006599,0.010605
0.020000,2.750379,5.433739,1.692602,1.669034,-0.058015,-0.004878,0.013083
0.020000,2.783733,5.434218,1.725959,1.667872,-0.058122,-0.005356,0.015653
0.020000,2.817062,5.434783,1.759293,1.666706,-0.058310,-0.009414,0.018316
0.020000,2.850367,5.435439,1.792604,1.665537,-0.058439,-0.006457,0.021073
0.020000,2.883645,5.436188,1.825891,1.664366,-0.058558,-0.005927,0.023924
0.020000,2.916899,5.437032,1.859155,1.663194,-0.058606,-0.002427,0.026868
0.020000,2.950126,5.437975,1.892396,1.662018,-0.058810,-0.010179,0.029907
0.020000,2.983326,5.439020,1.925612,1.660839,-0.058925,-0.005770,0.033040
0.020000,3.016499,5.440170,1.958805,1.659658,-0.059035,-0.005492,0.036267
0.020000,3.049645,5.441428,1.991975,1.658477,-0.059086,-0.002569,0.039589
0.020000,3.082762,5.442796,2.025121,1.657293,-0.059205,-0.005918,0.043005
0.020000,3.115851,5.444278,2.058243,1.656106,-0.059327,-0.006103,0.046517
0.020000,3.148911,5.445876,2.091341,1.654918,-0.059407,-0.003987,0.050123
0.020000,3.181941,5.447594,2.124416,1.653728,-0.059476,-0.003485,0.053825
0.020000,3.214941,5.449435,2.157467,1.652539,-0.059468,0.000400,0.057622
0.020000,3.247909,5.451400,2.190494,1.651347,-0.059582,-0.005700,0.061514
0.020000,3.280846,5.453495,2.223497,1.650155,-0.059622,-0.001984,0.065502
0.020000,3.313750,5.455720,2.256476,1.648962,-0.059642,-0.001008,0.069584
0.020000,3.346620,5.458080,2.289431,1.647769,-0.059646,-0.000189,0.073763
0.020000,3.379457,5.460577,2.322363,1.646577,-0.059584,0.003112,0.078036
0.020000,3.412259,5.463214,2.355271,1.645385,-0.059615,-0.001571,0.082406
0.020000,3.445025,5.465993,2.388154,1.644194,-0.059568,0.002348,0.086870
0.020000,3.477755,5.468919,2.421015,1.643004,-0.059501,0.003345,0.091430
0.020000,3.510447,5.471992,2.453851,1.641816,-0.059413,0.004403,0.096084
0.020000,3.543101,5.475218,2.486663,1.640630,-0.059277,0.006803,0.100834
0.020000,3.575715,5.478597,2.519452,1.639446,-0.059177,0.005007,0.105678
0.020000,3.608289,5.482133,2.552218,1.638266,-0.059022,0.007741,0.110616
0.020000,3.640821,5.485829,2.584960,1.637089,-0.058838,0.009207,0.115649
0.020000,3.673311,5.489688,2.617678,1.635917,-0.058626,0.010578,0.120776
0.020000,3.705758,5.493711,2.650373,1.634749,-0.058388,0.011911,0.125995
0.020000,3.738160,5.497903,2.683045,1.633586,-0.058129,0.012940,0.131308
0.020000,3.770516,5.502265,2.715693,1.632430,-0.057830,0.014943,0.136714
0.020000,3.802824,5.506800,2.748319,1.631280,-0.057498,0.016633,0.142211
0.020000,3.835085,5.511511,2.780921,1.630137,-0.057132,0.018315,0.147800
0.020000,3.867296,5.516400,2.813502,1.629002,-0.056748,0.019171,0.153480
0.020000,3.899457,5.521469,2.846059,1.627876,-0.056333,0.020758,0.159250
0.020000,3.931565,5.526723,2.878594,1.626759,-0.055839,0.024676,0.165109
0.020000,3.963620,5.532162,2.911107,1.625652,-0.055328,0.025557,0.171056
0.020000,3.995620,5.537789,2.943598,1.624557,-0.054778,0.027523,0.177092
0.020000,4.027564,5.543606,2.976068,1.623472,-0.054219,0.027940,0.183214
0.020000,4.059450,5.549617,3.008516,1.622399,-0.053640,0.028974,0.189421
0.020000,4.091278,5.555822,3.040943,1.621341,-0.052908,0.036567,0.195714
0.020000,4.123045,5.562225,3.073349,1.620297,-0.052193,0.035764,0.202090
0.020000,4.154750,5.568828,3.105734,1.619269,-0.051434,0.037953,0.208548
0.020000,4.186392,5.575632,3.138099,1.618254,-0.050731,0.035145,0.215087
0.020000,4.217969,5.582640,3.170444,1.617256,-0.049887,0.042196,0.221707
0.020000,4.249479,5.589853,3.202770,1.616278,-0.048926,0.048073,0.228404
0.020000,4.280922,5.597275,3.235076,1.615318,-0.047988,0.046872,0.235178
0.020000,4.312294,5.604905,3.267364,1.614377,-0.047064,0.046187,0.242028
0.020000,4.343596,5.612748,3.299633,1.613453,-0.046210,0.042732,0.248951
0.020000,4.374825,5.620803,3.331884,1.612554,-0.044946,0.063171,0.255947
0.020000,4.405979,5.629073,3.364117,1.611677,-0.043826,0.056016,0.263012
0.020000,4.437058,5.637560,3.396334,1.610822,-0.042782,0.052195,0.270147
0.020000,4.468059,5.646265,3.428533,1.609987,-0.041750,0.051603,0.277347
0.020000,4.498980,5.655189,3.460717,1.609182,-0.040250,0.074986,0.284612
0.020000,4.529821,5.664334,3.492885,1.608403,-0.038949,0.065068,0.291940
0.020000,4.560579,5.673702,3.525038,1.607642,-0.038048,0.045061,0.299328
0.020000,4.591253,5.683293,3.557176,1.606914,-0.036384,0.083190,0.306775
