dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.058231,5.204308,0.000198,0.019767,0.988372,49.418605,0.000246
0.020000,1.058231,5.204308,0.000988,0.059302,1.976744,49.418605,0.000199
0.020000,1.058231,5.204308,0.002570,0.098837,1.976744,0.000000,0.000106
0.020000,1.058787,5.204308,0.004942,0.138372,1.976744,0.000000,6.283153
0.020000,1.061949,5.204307,0.008105,0.177907,1.976744,-0.000000,6.282969
0.020000,1.065903,5.204306,0.012058,0.217442,1.976744,0.000000,6.282739
0.020000,1.070647,5.204303,0.016802,0.256977,1.976744,-0.000000,6.282466
0.020000,1.076182,5.204298,0.022337,0.296512,1.976744,0.000000,6.282149
0.020000,1.082508,5.204290,0.028663,0.336047,1.976744,-0.000000,6.281790
0.020000,1.089624,5.204279,0.035779,0.375581,1.976744,0.000000,6.281389
0.020000,1.097531,5.204263,0.043686,0.415116,1.976744,-0.000000,6.280949
0.020000,1.106228,5.204242,0.052384,0.454651,1.976744,0.000000,6.280471
0.020000,1.115717,5.204213,0.061872,0.494186,1.976744,0.000000,6.279956
0.020000,1.125996,5.204177,0.072151,0.533721,1.976744,0.000000,6.279407
0.020000,1.137065,5.204132,0.083221,0.573256,1.976744,-0.000000,6.278824
0.020000,1.148926,5.204077,0.095081,0.612791,1.976744,0.000000,6.278210
0.020000,1.161577,5.204010,0.107733,0.652326,1.976744,0.000000,6.277568
0.020000,1.175018,5.203930,0.121174,0.691860,1.976744,0.000000,6.276899
0.020000,1.189251,5.203836,0.135407,0.731395,1.976744,-0.000000,6.276207
0.020000,1.204274,5.203725,0.150430,0.770930,1.976744,0.000000,6.275493
0.020000,1.220087,5.203598,0.166244,0.810465,1.976744,0.000000,6.274762
0.020000,1.236691,5.203452,0.182849,0.850000,1.976744,-0.000000,6.274014
0.020000,1.254086,5.203286,0.200244,0.889535,1.976744,0.000000,6.273255
0.020000,1.272271,5.203098,0.218430,0.929070,1.976744,-0.000000,6.272486
0.020000,1.291246,5.202888,0.237407,0.968605,1.976744,0.000000,6.271711
0.020000,1.311012,5.202653,0.257174,1.008140,1.976744,0.000000,6.270935
0.020000,1.331569,5.202393,0.277733,1.047674,1.976744,-0.000000,6.270159
0.020000,1.352916,5.202107,0.299081,1.087209,1.976744,0.000000,6.269389
0.020000,1.375053,5.201793,0.321221,1.126744,1.976744,0.000000,6.268628
0.020000,1.397981,5.201450,0.344151,1.166279,1.976744,0.000000,6.267880
0.020000,1.421699,5.201079,0.367872,1.205814,1.976744,-0.000000,6.267149
0.020000,1.446207,5.200677,0.392384,1.245349,1.976744,0.000000,6.266440
0.020000,1.471506,5.200244,0.417686,1.284884,1.976744,0.000000,6.265757
0.020000,1.497595,5.199781,0.443779,1.324419,1.976744,-0.000000,6.265105
0.020000,1.524474,5.199287,0.470663,1.363953,1.976744,0.000000,6.264489
0.020000,1.552143,5.198761,0.498337,1.403488,1.976744,0.000000,6.263913
0.020000,1.580603,5.198205,0.526802,1.443023,1.976744,-0.000000,6.263382
0.020000,1.609853,5.197618,0.556058,1.482558,1.976744,0.000000,6.262902
0.020000,1.639893,5.197002,0.586105,1.522093,1.976744,0.000000,6.262479
0.020000,1.670723,5.196358,0.616942,1.561628,1.976744,-0.000000,6.262116
0.020000,1.702344,5.195687,0.648570,1.601163,1.976744,0.000000,6.261821
0.020000,1.734755,5.194991,0.680988,1.640698,1.976744,-0.000000,6.261598
0.020000,1.767957,5.194271,0.714198,1.680233,1.976744,0.000000,6.261455
0.020000,1.801751,5.193535,0.748000,1.700000,0.988372,-49.418605,6.261396
0.020000,1.835743,5.192795,0.782000,1.700000,0.000000,-49.418605,6.261426
0.020000,1.869735,5.192057,0.816000,1.700000,0.000000,0.000000,6.261546
0.020000,1.903727,5.191324,0.850000,1.700000,0.000000,0.000000,6.261754
0.020000,1.937719,5.190601,0.884000,1.700000,0.000000,0.000000,6.262052
0.020000,1.971712,5.189889,0.918000,1.700000,0.000000,0.000000,6.262440
0.020000,2.005705,5.189191,0.952000,1.700000,0.000000,0.000000,6.262917
0.020000,2.039698,5.188511,0.986000,1.700000,0.000000,0.000000,6.263483
0.020000,2.073692,5.187852,1.020000,1.700000,0.000000,0.000000,6.264139
0.020000,2.107686,5.187217,1.054000,1.700000,0.000000,0.000000,6.264885
0.020000,2.141680,5.186609,1.088000,1.700000,0.000000,0.000000,6.265720
0.020000,2.175675,5.186031,1.122000,1.700000,0.000000,0.000000,6.266645
0.020000,2.209671,5.185485,1.156000,1.700000,0.000000,0.000000,6.267660
0.020000,2.243667,5.184976,1.190000,1.700000,0.000000,0.000000,6.268766
0.020000,2.277664,5.184506,1.224000,1.700000,0.000000,0.000000,6.269961
0.020000,2.311661,5.184078,1.258000,1.700000,0.000000,0.000000,6.271247
0.020000,2.345659,5.183695,1.292000,1.700000,0.000000,0.000000,6.272624
0.020000,2.379657,5.183361,1.326000,1.700000,0.000000,0.000000,6.274091
0.020000,2.413656,5.183078,1.360000,1.700000,0.000000,0.000000,6.275649
0.020000,2.447655,5.182849,1.394000,1.700000,0.000000,0.000000,6.277298
0.020000,2.481655,5.182679,1.428000,1.700000,0.000000,0.000000,6.279038
