dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.058293,4.954308,0.000198,0.019767,0.988372,49.418605,0.000246
0.020000,1.058281,4.954308,0.000209,0.000581,-0.959338,-97.385499,0.000199
0.020000,1.058258,4.954308,0.000232,0.001160,0.028942,49.413972,0.000106
0.020000,1.058779,4.954308,0.000753,0.026025,1.243273,60.716548,6.283153
0.020000,1.061895,4.954307,0.003870,0.155835,6.490517,262.362204,6.282969
0.020000,1.065791,4.954306,0.007766,0.194808,1.948634,-227.094155,6.282739
0.020000,1.070467,4.954303,0.012442,0.233790,1.949124,0.024514,6.282466
0.020000,1.075923,4.954298,0.017897,0.272784,1.949665,0.027082,6.282149
0.020000,1.082159,4.954291,0.024133,0.311789,1.950277,0.030560,6.281790
0.020000,1.089175,4.954280,0.031149,0.350811,1.951106,0.041444,6.281389
0.020000,1.096972,4.954264,0.038946,0.389849,1.951888,0.039145,6.280949
0.020000,1.105550,4.954243,0.047524,0.428905,1.952803,0.045730,6.280471
0.020000,1.114910,4.954215,0.056884,0.467982,1.953837,0.051718,6.279956
0.020000,1.125051,4.954179,0.067026,0.507081,1.954932,0.054738,6.279407
0.020000,1.135975,4.954135,0.077950,0.546205,1.956214,0.064082,6.278824
0.020000,1.147682,4.954080,0.089657,0.585353,1.957383,0.058475,6.278210
0.020000,1.160172,4.954014,0.102147,0.624530,1.958859,0.073762,6.277568
0.020000,1.173447,4.953935,0.115422,0.663736,1.960313,0.072720,6.276899
0.020000,1.187506,4.953842,0.129482,0.702974,1.961888,0.078752,6.276207
0.020000,1.202351,4.953733,0.144326,0.742244,1.963499,0.080568,6.275493
0.020000,1.217981,4.953607,0.159957,0.781550,1.965297,0.089880,6.274762
0.020000,1.234398,4.953462,0.176375,0.820891,1.967076,0.088968,6.274014
0.020000,1.251603,4.953298,0.193581,0.860272,1.969045,0.098428,6.273255
0.020000,1.269596,4.953112,0.211575,0.899693,1.971050,0.100241,6.272486
0.020000,1.288378,4.952904,0.230358,0.939156,1.973148,0.104927,6.271711
0.020000,1.307950,4.952672,0.249931,0.978662,1.975293,0.107223,6.270935
0.020000,1.328312,4.952414,0.270295,1.018215,1.977634,0.117072,6.270159
0.020000,1.349467,4.952131,0.291452,1.057814,1.979973,0.116925,6.269389
0.020000,1.371414,4.951819,0.313401,1.097462,1.982406,0.121681,6.268628
0.020000,1.394154,4.951480,0.336144,1.137161,1.984951,0.127233,6.267880
0.020000,1.417690,4.951111,0.359682,1.176913,1.987602,0.132536,6.267149
0.020000,1.442021,4.950712,0.384017,1.216719,1.990288,0.134317,6.266440
0.020000,1.467149,4.950282,0.409148,1.256581,1.993115,0.141362,6.265757
0.020000,1.493075,4.949822,0.435078,1.296501,1.995978,0.143145,6.265105
0.020000,1.519800,4.949330,0.461808,1.336480,1.998950,0.148600,6.264489
0.020000,1.547325,4.948807,0.489338,1.376520,2.002025,0.153761,6.263913
0.020000,1.575652,4.948254,0.517671,1.416624,2.005197,0.158611,6.263382
0.020000,1.604782,4.947670,0.546807,1.456792,2.008400,0.160107,6.262902
0.020000,1.634717,4.947056,0.576747,1.497027,2.011761,0.168053,6.262479
0.020000,1.665457,4.946414,0.607494,1.537331,2.015171,0.170513,6.262116
0.020000,1.697003,4.945744,0.639048,1.577705,2.018684,0.175652,6.261821
0.020000,1.729359,4.945049,0.671411,1.618150,2.022293,0.180446,6.261598
0.020000,1.762525,4.944330,0.704584,1.658670,2.025979,0.184306,6.261455
0.020000,1.796304,4.943595,0.738372,1.689383,1.535651,-24.516411,6.261396
0.020000,1.830304,4.942854,0.772379,1.700376,0.549625,-49.301289,6.261426
0.020000,1.864326,4.942115,0.806409,1.701492,0.055822,-24.690133,6.261546
0.020000,1.898370,4.941382,0.840461,1.702609,0.055829,0.000306,6.261754
0.020000,1.932437,4.940657,0.874536,1.703725,0.055841,0.000638,6.262052
0.020000,1.966526,4.939942,0.908633,1.704843,0.055876,0.001762,6.262440
0.020000,2.000638,4.939242,0.942752,1.705961,0.055906,0.001483,6.262917
0.020000,2.034773,4.938560,0.976894,1.707080,0.055933,0.001352,6.263483
0.020000,2.068930,4.937898,1.011058,1.708199,0.055975,0.002073,6.264139
0.020000,2.103111,4.937259,1.045244,1.709320,0.056063,0.004428,6.264885
0.020000,2.137314,4.936647,1.079453,1.710442,0.056091,0.001396,6.265720
0.020000,2.171541,4.936065,1.113684,1.711565,0.056150,0.002937,6.266645
0.020000,2.205790,4.935516,1.147938,1.712690,0.056228,0.003925,6.267660
0.020000,2.240062,4.935002,1.182214,1.713817,0.056345,0.005818,6.268766
0.020000,2.274358,4.934528,1.216513,1.714944,0.056383,0.001897,6.269961
0.020000,2.308677,4.934096,1.250835,1.716074,0.056469,0.004333,6.271247
0.020000,2.343019,4.933709,1.285179,1.717206,0.056589,0.005966,6.272624
0.020000,2.377384,4.933371,1.319546,1.718340,0.056709,0.006040,6.274091
0.020000,2.411772,4.933085,1.353935,1.719475,0.056770,0.003006,6.275649
0.020000,2.446184,4.932854,1.388347,1.720613,0.056877,0.005369,6.277298
0.020000,2.480618,4.932681,1.422782,1.721753,0.057030,0.007644,6.279038
0.020000,2.515076,4.932569,1.457240,1.722896,0.057152,0.006097,6.280870
0.020000,2.549557,4.932522,1.491721,1.724041,0.057230,0.003900,6.282793
0.020000,2.584061,4.932543,1.526225,1.725188,0.057352,0.006123,0.001623
0.020000,2.618587,4.932635,1.560752,1.726338,0.057523,0.008553,0.003730
0.020000,2.653137,4.932802,1.595302,1.727492,0.057654,0.006546,0.005929
0.020000,2.687709,4.933046,1.629874,1.728646,0.057738,0.004191,0.008221
0.020000,2.722303,4.933372,1.664471,1.729804,0.057868,0.006512,0.010605
0.020000,2.756920,4.933781,1.699090,1.730964,0.058035,0.008339,0.013083
0.020000,2.791559,4.934279,1.733732,1.732128,0.058192,0.007831,0.015653
0.020000,2.826220,4.934867,1.768398,1.733293,0.058262,0.003531,0.018316
0.020000,2.860902,4.935550,1.803087,1.734461,0.058391,0.006444,0.021073
0.020000,2.895606,4.936331,1.837800,1.735632,0.058527,0.006775,0.023924
0.020000,2.930331,4.937213,1.872536,1.736806,0.058730,0.010141,0.026868
0.020000,2.965077,4.938199,1.907296,1.737982,0.058763,0.001679,0.029907
0.020000,2.999843,4.939293,1.942079,1.739159,0.058880,0.005824,0.033040
0.020000,3.034629,4.940499,1.976886,1.740339,0.058991,0.005581,0.036267
0.020000,3.069434,4.941819,2.011716,1.741522,0.059152,0.008032,0.039589
0.020000,3.104259,4.943258,2.046570,1.742707,0.059228,0.003812,0.043005
0.020000,3.139102,4.944819,2.081448,1.743892,0.059284,0.002807,0.046517
0.020000,3.173962,4.946504,2.116350,1.745080,0.059367,0.004129,0.050123
0.020000,3.208841,4.948318,2.151275,1.746268,0.059440,0.003660,0.053825
0.020000,3.243736,4.950264,2.186224,1.747460,0.059573,0.006667,0.057622
0.020000,3.278647,4.952346,2.221197,1.748651,0.059554,-0.000987,0.061514
0.020000,3.313573,4.954567,2.256194,1.749843,0.059586,0.001618,0.065502
0.020000,3.348514,4.956930,2.291215,1.751035,0.059610,0.001222,0.069584
0.020000,3.383468,4.959440,2.326260,1.752227,0.059621,0.000547,0.073763
0.020000,3.418436,4.962098,2.361328,1.753421,0.059669,0.002401,0.078036
0.020000,3.453415,4.964910,2.396420,1.754612,0.059582,-0.004366,0.082406
0.020000,3.488406,4.967879,2.431536,1.755803,0.059540,-0.002102,0.086870
0.020000,3.523406,4.971007,2.466676,1.756993,0.059479,-0.003068,0.091430
0.020000,3.558415,4.974299,2.501840,1.758181,0.059397,-0.004093,0.096084
0.020000,3.593432,4.977757,2.537027,1.759367,0.059321,-0.003805,0.100834
0.020000,3.628456,4.981386,2.572238,1.760550,0.059158,-0.008144,0.105678
0.020000,3.663484,4.985189,2.607473,1.761730,0.059003,-0.007760,0.110616
0.020000,3.698517,4.989169,2.642731,1.762907,0.058825,-0.008860,0.115649
0.020000,3.733553,4.993330,2.678012,1.764079,0.058622,-0.010192,0.120776
0.020000,3.768589,4.997675,2.713317,1.765247,0.058388,-0.011693,0.125995
0.020000,3.803625,5.002207,2.748646,1.766409,0.058115,-0.013652,0.131308
0.020000,3.838660,5.006930,2.783997,1.767566,0.057821,-0.014687,0.136714
0.020000,3.873691,5.011847,2.819371,1.768716,0.057497,-0.016185,0.142211
0.020000,3.908716,5.016962,2.854768,1.769858,0.057141,-0.017812,0.147800
0.020000,3.943735,5.022277,2.890188,1.770993,0.056732,-0.020460,0.153480
0.020000,3.978745,5.027796,2.925631,1.772119,0.056283,-0.022433,0.159250
0.020000,4.013745,5.033522,2.961095,1.773236,0.055844,-0.021979,0.165109
0.020000,4.048731,5.039459,2.996582,1.774343,0.055345,-0.024934,0.171056
0.020000,4.083704,5.045609,3.032091,1.775439,0.054809,-0.026813,0.177092
0.020000,4.118659,5.051975,3.067621,1.776523,0.054199,-0.030485,0.183214
0.020000,4.153596,5.058560,3.103173,1.777593,0.053527,-0.033582,0.189421
0.020000,4.188511,5.065368,3.138746,1.778652,0.052936,-0.029567,0.195714
0.020000,4.223403,5.072401,3.174340,1.779697,0.052240,-0.034816,0.202090
0.020000,4.258270,5.079662,3.209955,1.780727,0.051502,-0.036858,0.208548
0.020000,4.293108,5.087153,3.245590,1.781739,0.050613,-0.044461,0.215087
0.020000,4.327916,5.094878,3.281244,1.782735,0.049788,-0.041267,0.221707
0.020000,4.362691,5.102839,3.316919,1.783715,0.049000,-0.039372,0.228404
0.020000,4.397430,5.111038,3.352612,1.784677,0.048094,-0.045302,0.235178
0.020000,4.432131,5.119478,3.388324,1.785618,0.047081,-0.050693,0.242028
0.020000,4.466790,5.128162,3.424055,1.786536,0.045897,-0.059168,0.248951
0.020000,4.501406,5.137091,3.459804,1.787438,0.045074,-0.041162,0.255947
0.020000,4.535975,5.146268,3.495570,1.788318,0.044001,-0.053654,0.263012
0.020000,4.570494,5.155694,3.531354,1.789173,0.042752,-0.062452,0.270147
0.020000,4.604961,5.165372,3.567154,1.790001,0.041399,-0.067634,0.277347
0.020000,4.639373,5.175304,3.602970,1.790810,0.040478,-0.046061,0.284612
0.020000,4.673726,5.185490,3.638802,1.791595,0.039250,-0.061401,0.291940
0.020000,4.708018,5.195934,3.674649,1.792345,0.037491,-0.087953,0.299328
0.020000,4.742246,5.206636,3.710510,1.793075,0.036499,-0.049594,0.306775
0.020000,4.776405,5.217598,3.746386,1.793781,0.035273,-0.061293,0.314277
0.020000,4.810494,5.228821,3.782275,1.794448,0.033389,-0.094217,0.321834
0.020000,4.844510,5.240307,3.818177,1.795092,0.032174,-0.060728,0.329441
0.020000,4.878448,5.252055,3.854091,1.795712,0.031005,-0.058470,0.337098
0.020000,4.912306,5.264068,3.890017,1.796287,0.028744,-0.113023,0.344802
0.020000,4.946080,5.276346,3.925953,1.796843,0.027814,-0.046533,0.352550
0.020000,4.979768,5.288889,3.961901,1.797368,0.026235,-0.078927,0.360339
0.020000,5.013366,5.301699,3.997858,1.797848,0.024010,-0.111247,0.368168
0.020000,5.046871,5.314775,4.033824,1.798315,0.023368,-0.032094,0.376033
0.020000,5.080279,5.328118,4.069799,1.798727,0.020593,-0.138747,0.383932
0.020000,5.113589,5.341729,4.105781,1.799127,0.019973,-0.031033,0.391863
0.020000,5.146795,5.355605,4.141771,1.799477,0.017519,-0.122673,0.399821
0.020000,5.179896,5.369749,4.177767,1.799805,0.016411,-0.055430,0.407806
0.020000,5.212888,5.384160,4.213769,1.800089,0.014206,-0.110240,0.415814
0.020000,5.245768,5.398836,4.249776,1.800350,0.013049,-0.057847,0.423842
0.020000,5.278533,5.413778,4.285787,1.800563,0.010611,-0.121883,0.431888
0.020000,5.311180,5.428985,4.321802,1.800762,0.009992,-0.030952,0.439948
0.020000,5.343706,5.444457,4.357820,1.800896,0.006688,-0.165231,0.448021
0.020000,5.376109,5.460191,4.393841,1.801029,0.006616,-0.003570,0.456104
0.020000,5.408384,5.476188,4.429863,1.801106,0.003860,-0.137802,0.464193
0.020000,5.440530,5.492446,4.465886,1.801153,0.002380,-0.074022,0.472286
0.020000,5.472543,5.508963,4.501909,1.801181,0.001386,-0.049704,0.480380
0.020000,5.500289,5.523536,4.533249,1.566996,-11.709235,-585.531044,0.484694
0.020000,5.528847,5.538445,4.565465,1.610776,2.188961,694.909819,0.477558
0.020000,5.557451,5.553115,4.597611,1.607304,-0.173566,-118.126335,0.470142
0.020000,5.586098,5.567534,4.629683,1.603609,-0.184740,-0.558721,0.462430
0.020000,5.614788,5.581693,4.661676,1.599644,-0.198283,-0.677154,0.454404
0.020000,5.643518,5.595580,4.693586,1.595514,-0.206505,-0.411084,0.446043
0.020000,5.672284,5.609183,4.725407,1.591040,-0.223698,-0.859668,0.437327
0.020000,5.701085,5.622490,4.757133,1.586293,-0.237339,-0.682043,0.428232
0.020000,5.729915,5.635487,4.788758,1.581242,-0.252533,-0.759678,0.418732
0.020000,5.758772,5.648160,4.820275,1.575851,-0.269582,-0.852497,0.408800
0.020000,5.787650,5.660494,4.851676,1.570077,-0.288682,-0.954974,0.398406
0.020000,5.816543,5.672472,4.882954,1.563876,-0.310038,-1.067822,0.387517
0.020000,5.845445,5.684078,4.914099,1.557245,-0.331572,-1.076659,0.376097
0.020000,5.874348,5.695293,4.945101,1.550118,-0.356336,-1.238205,0.364108
0.020000,5.903243,5.706099,4.975951,1.542482,-0.381795,-1.272983,0.351507
